Read data time:  0.002405
Count instances time:  0.012792
Count motifs time:  0.003864
End-to-end Time:  0.019060
010102 	 32 
010112 	 24 
010120 	 28 
010121 	 26 
010201 	 18 
010202 	 23 
010210 	 20 
010212 	 31 
010220 	 42 
010221 	 27 
011002 	 18 
011012 	 16 
011020 	 21 
011021 	 14 
011201 	 10 
011202 	 19 
011210 	 18 
011212 	 10 
011220 	 20 
011221 	 19 
012001 	 15 
012002 	 50 
012010 	 16 
012012 	 12 
012020 	 51 
012021 	 14 
012101 	 12 
012102 	 14 
012110 	 19 
012112 	 19 
012120 	 18 
012121 	 8 
